repo	clone_s	size	scan_ms	exit	comps	error_note
test-bat	1s	12M	584ms	0	432	
test-bun	9s	285M	2979ms	0	8788	
test-codex	3s	74M	1294ms	0	2063	
test-cpython	7s	189M	580ms	0	187	
test-guac-visualizer	1s	3.9M	49ms	0	908	
test-kubernetes	11s	380M	81738ms	0	817	
test-langflow	11s	343M	1352ms	0	3276	
test-markitdown	1s	28M	50ms	0	32	
test-OctoPrint	2s	30M	175ms	0	83	
test-podman	4s	134M	2916ms	0	500	
test-podman-desktop	9s	360M	643ms	0	2731	
test-pytorch	11s	320M	1861ms	0	295	
test-rails	3s	63M	713ms	0	1072	
test-ripgrep	0s	4.3M	327ms	0	88	
test-rustdesk	0s	24M	332ms	0	1473	
test-rustlang	13s	451M	4272ms	1	0	    2: Cargo.lock v1/v2 not supported; regenerate with cargo ≥1.53 
test-sphinx	1s	34M	327ms	0	226	
test-tauri	2s	37M	401ms	0	1684	
test-tensorflow-models	4s	192M	540ms	0	1439	
test-vaultwarden	1s	5.5M	374ms	0	843	
test-yt-dlp	1s	18M	107ms	0	65	
